s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
0.0,1374.856,587.822,235.250,239.208,-3.958,0.532,7.99,0.99,0.451,multipass
1.0,1374.864,588.870,235.260,238.772,-3.512,0.532,7.84,0.97,0.369,multipass
2.0,1374.857,589.878,235.470,238.933,-3.463,0.532,7.83,0.83,0.291,multipass
3.0,1374.835,590.847,235.610,238.622,-3.012,0.532,7.96,0.85,0.215,multipass
4.0,1374.801,591.780,235.700,238.436,-2.737,0.532,8.32,0.99,0.169,multipass
5.0,1374.755,592.679,235.760,238.120,-2.360,0.532,8.61,1.00,0.137,multipass
6.0,1374.699,593.545,235.810,238.026,-2.216,0.532,8.13,1.00,0.146,multipass
7.0,1374.633,594.380,235.850,238.058,-2.208,0.532,8.21,1.00,0.161,multipass
8.0,1374.558,595.186,235.970,238.304,-2.334,0.532,8.27,0.97,0.157,multipass
9.0,1374.477,595.966,236.090,238.254,-2.164,0.532,8.51,0.97,0.145,multipass
10.0,1374.389,596.721,236.390,238.079,-1.689,0.532,8.94,1.00,0.080,multipass
11.0,1374.297,597.453,236.440,237.721,-1.281,0.532,9.14,1.00,0.070,multipass
12.0,1374.200,598.163,236.440,237.407,-0.967,0.532,9.34,1.00,0.082,multipass
13.0,1374.101,598.855,236.460,237.389,-0.929,0.532,9.59,0.97,0.091,multipass
14.0,1374.000,599.530,236.460,237.501,-1.041,0.532,9.88,0.99,0.111,multipass
15.0,1373.899,600.190,236.490,238.039,-1.549,0.532,11.11,0.99,0.138,multipass
16.0,1373.799,600.836,236.500,238.077,-1.577,0.532,11.67,1.00,0.175,multipass
